PetType,Breed,Breed_Korean,Breed_English,CoatType,CoatColor,Size
PAF02,51,엔조틱 쇼트헤어,Exotic Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,52,오레곤 렉스,Oregon Rex,PAD03,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,53,오리엔탈 롱헤어,Oriental Longhair,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF02,54,오리엔탈 바이컬러,Oriental Bicolor,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF02,55,오리엔탈 쇼트헤어,Oriental Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF02,56,오스트레일리안 미스트,Australian Mist,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,57,오시캣,Ocicat,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,58,오호스 아즐레스,Ojos Azules,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,59,유러피안 쇼트헤어,European Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
PAF02,60,이집션 마우,Egyptian Mau,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,61,자바니즈,Javanese,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,62,재패니즈 밥테일,Japanese Bobtail,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,63,저먼 랙스,German Rex,PAD03,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,64,쵸시,Chausie,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,65,치토,Cheetoh,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,66,카오마니,Khao Manee,PAD01,PAE01,PAB03
PAF02,67,캘리포니아 스팽글드,California Spangled,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
PAF02,68,컬러포인트 쇼트헤어,Colorpoint Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,69,코니쉬 렉스,Cornish Rex,PAD03,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,70,코랫,Korat,PAD01,PAE03,PAB03
PAF02,71,코리안 밥테일,Korean Bobtail,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,72,코리안 쇼트헤어,Korean Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,73,쿠리리안 밥테일,Kurilian Bobtail,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,74,킴릭,Cymric,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,75,타이,Thai,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,76,터키시 반,Turkish Van,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,77,터키시 앙고라,Turkish Angora,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,78,토이거,Toyger,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,79,통키니즈,Tonkinese,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,80,페르시안,Persian,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,81,피터볼드,Peterbald,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,82,픽시 밥,Pixie-bob,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB04,PAB05"
PAF02,83,하바나 브라운,Havana Brown,PAD01,PAE05,PAB03
PAF02,84,하이랜더,Highlander,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
PAF02,85,히말라얀,Himalayan,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
